Date,Event,Election Year
2023-10-09,The Port Waikato electorate vote is cancelled after ACT candidate Neil Christensen dies; a replacement by-election will be held on 25 November 2023.,2023
2023-10-02,Advance voting for the 2023 general election begins.,2023
2023-07-24,Kiri Allan of the Labour Party resigns as a minister.,2023
2023-06-21,Michael Wood of the Labour Party resigns as a minister.,2023
2023-05-18,The 2023 Budget is delivered.,2023
2023-05-03,Meka Whaitiri resigns from the Labour Party and joins Te Pāti Māori.,2023
2023-03-28,Stuart Nash of the Labour Party is stripped of all his ministerial portfolios.,2023
2023-02-12,Cyclone Gabrielle begins impacting the North Island,2023
2023-01-27,2023 Auckland Anniversary Weekend floods begin,2023
2023-01-25,Chris Hipkins is sworn in as the 41st Prime Minister of New Zealand.,2023
2023-01-22,Chris Hipkins is unanimously elected Leader of the Labour Party.,2023
2023-01-19,"Jacinda Ardern announces her resignation as Prime Minister of New Zealand, taking effect 25 January 2023.",2023
2022-12-10,Tama Potaka of the National Party wins the Hamilton West by-election.,2023
2022-09-12,The COVID-19 Protection Framework officially ends.,2023
2022-06-18,Sam Uffindell of the National Party wins the Tauranga by-election.,2023
2022-05-19,The 2022 Budget is delivered.,2023
2022-04-13,New Zealand shifts from the Red Light setting to the Orange Light setting of the COVID-19 Protection Framework.,2023
2022-01-23,Nationwide Red Light restrictions are implemented due to the COVID−19 Omicron variant being detected in the community.,2023
2021-12-02,New Zealand shifts from the COVID-19 alert level system to the new COVID-19 Protection Framework system.,2023
2021-11-30,Christopher Luxon is elected Leader of the National Party with Nicola Willis as his deputy.,2023
2021-11-25,Judith Collins loses the National Party leadership.,2023
2021-08-17,Nationwide Level 4 restrictions are implemented due to the COVID−19 Delta variant being detected in the community.,2023
2021-05-20,The 2021 Budget is delivered.,2023
